"date";"ride_starting_time";"origin";"destination";"total_price_brl";"dynamic_price";"distance_in_meters";"duration_in_seconds"
"Monday, June 12th, 2023"; 07:36; Jardim Sao Marcos; Centro; 11.63; 0.0; 6000; 721
"Monday, June 12th, 2023"; 11:26; Vila Cordula; Centro; 5.51; 0.0; 1800; 427
"Monday, June 12th, 2023"; 11:40; Centro; Gaivota; 31.36; 0.0; 8400; 1534
"Monday, June 12th, 2023"; 12:12; Vista Alegre; Vila Diniz; 8.26; 0.0; 3500; 466
"Monday, June 12th, 2023"; 17:03; 15090-120; Jardim Herculano; 10.19; 0.0; 3600; 1007
"Tuesday, June 13th, 2023"; 07:23; Parque Residencial Mansur Daud; Jardim Marajo; 17.08; 0.0; 9600; 952
"Tuesday, June 13th, 2023"; 07:40; Sao Deocleciano; Jardim Santa Maria; 14.25; 0.0; 7500; 1040
"Tuesday, June 13th, 2023"; 09:28; Jardim Conceicao; Centro; 7.96; 0.0; 3400; 630
"Tuesday, June 13th, 2023"; 11:20; Alto Rio Preto; Bela Vista; 16.33; 0.0; 8500; 1389
"Tuesday, June 13th, 2023"; 11:20; Alto Rio Preto; Bela Vista; 16.33; 0.0; 8500; 1389
"Tuesday, June 13th, 2023"; 12:28; Santa Cruz; Sao Deocleciano; 11.61; 0.0; 5700; 720
"Tuesday, June 13th, 2023"; 14:12; 15055-410; Santa Cruz; 7.57; 0.0; 3000; 543
"Tuesday, June 13th, 2023"; 14:59; 15091-210; Boa Vista; 8.54; 0.0; 3300; 755
"Tuesday, June 13th, 2023"; 16:12; 15091-210; Boa Vista; 7.17; 0.0; 3200; 636
"Tuesday, June 13th, 2023"; 16:49; Jardim Santa Maria; Parque Jaguare; 16.02; 0.0; 8600; 924
"Tuesday, June 13th, 2023"; 17:28; Jardim Santa Maria; Parque Jaguare; 9.80; 0.0; 4600; 837
"Wednesday, June 14th, 2023"; 07:19; Vila Toninho; Jardim Maracana; 18.58; 0.0; 10100; 913
"Wednesday, June 14th, 2023"; 07:37; 15091-320; Vila Mayor; 14.83; 0.0; 7300; 1190
"Wednesday, June 14th, 2023"; 10:44; Parque Juruti; Vila Nossa Senhora da Paz; 13.50; 0.0; 7100; 1126
"Wednesday, June 14th, 2023"; 11:33; Boa Vista; Boa Vista; 6.06; 0.0; 400; 125
"Wednesday, June 14th, 2023"; 11:43; Boa Vista; Residencial Nato Vetorasso; 14.31; 0.0; 7400; 935
"Wednesday, June 14th, 2023"; 12:04; Residencial Nato Vetorasso; Belvedere; 25.36; 2.25; 20300; 1422
"Wednesday, June 14th, 2023"; 12:33; Vila Sao Jorge; Centro; 19.29; 1.50; 9700; 1241
"Wednesday, June 14th, 2023"; 13:07; Centro; Bela Vista; 22.37; 0.0; 10700; 1660
"Wednesday, June 14th, 2023"; 15:29; 15076-760; 15051-355; 16.31; 0.0; 9100; 788
"Wednesday, June 14th, 2023"; 16:36; Parque Industrial; Schimidt; 24.31; 0.0; 14700; 1693
"Wednesday, June 14th, 2023"; 17:38; Centro; 15047-279; 18.38; 2.0; 7700; 1781
"Thursday, June 15th, 2023"; 07:39; Jardim Nazareth; Centro; 19.15; 8.0; 4900; 1320
"Thursday, June 15th, 2023"; 09:01; Vila Ideal; Parque Residencial Damha; 6.87; 0.0; 2700; 347
"Thursday, June 15th, 2023"; 09:42; Jardim Vale do Sol; Jardim Santa Maria; 14.29; 0.0; 7100; 1050
"Thursday, June 15th, 2023"; 10:18; Gaivota; Joao Paulo II; 11.99; 0.0; 6500; 758
"Thursday, June 15th, 2023"; 11:34; Vila Redentora; 15092-601; 10.06; 0.0; 4700; 637
"Thursday, June 15th, 2023"; 11:48; Vila Aeroporto; 15054-000; 13.07; 0.0; 6000; 1031
"Thursday, June 15th, 2023"; 12:38; Jardim Santa Rosa II; Jardim Aclimacao; 22.95; 2.50; 11900; 1067
"Thursday, June 15th, 2023"; 13:04; Jardim Vivendas; Centro; 10.13; 0.0; 4500; 787
"Thursday, June 15th, 2023"; 13:23; Vila Redentora; Taraf II; 8.64; 0.0; 3300; 517
"Thursday, June 15th, 2023"; 14:38; Vila Toninho; Boa Vista; 16.01; 0.0; 8000; 821
"Thursday, June 15th, 2023"; 15:10; Jardim Morumbi; Centro; 9.38; 0.0; 3300; 856
"Thursday, June 15th, 2023"; 15:31; Centro; Vila Sao Jose; 6.49; 0.0; 2300; 566
"Thursday, June 15th, 2023"; 15:57; Sao Francisco; Jardim Nunes; 20.41; 0.0; 11600; 1769
"Thursday, June 15th, 2023"; 16:38; Conjunto Habitacional Sao Jose do Rio Preto; Centro; 13.54; 0.0; 6800; 859
"Thursday, June 15th, 2023"; 17:01; Vila Redentora; Jardim Alto Alegre; 11.76; 0.0; 5100; 952
"Thursday, June 15th, 2023"; 17:26; Boa Vista; Jardim Morumbi; 11.60; 0.0; 5300; 1339
"Thursday, June 15th, 2023"; 17:57; Jardim Walkiria; Jardim Nunes; 22.54; 0.0; 11200; 2798
"Friday, June 16th, 2023"; 07:19; Sao Deocleciano; Centro; 14.27; 3.50; 5000; 870
"Friday, June 16th, 2023"; 07:41; Centro; Vila Sao Jose; 7.98; 0.0; 3200; 664
"Friday, June 16th, 2023"; 07:58; 15085-440; 15035-110; 12.89; 0.0; 7500; 984
"Friday, June 16th, 2023"; 08:32; Jardim Maracana; Jardim Seyon; 16.89; 0.0; 8200; 1180
"Friday, June 16th, 2023"; 08:57; Jardim do Bosque; Jardim Redentor; 12.96; 0.0; 6500; 1095
"Friday, June 16th, 2023"; 11:16; Centro; Vila Ideal; 6.95; 0.0; 2600; 488,
"Friday, June 16th, 2023"; 11:47; Vila Maceno; Esplanada; 7.70; 0.0; 3000; 544
"Friday, June 16th, 2023"; 11:59; Boa Vista; Jardim Nunes; 13.52; 0.0; 6700; 961
"Friday, June 16th, 2023"; 12:35; Boa Vista; Vila Italia; 10.85; 0.0; 5000; 867
"Friday, June 16th, 2023"; 12:55; Vila Aeroporto; Vila Sao Jose; 7.01; 0.0; 2600; 674
"Friday, June 16th, 2023"; 13:09; Vila Sao Jose; Vila Elvira; 13.96; 0.0; 7100; 775
"Friday, June 16th, 2023"; 15:20; Centro; Jardim Alto Alegre; 5.96; 0.0; 2200; 388
"Friday, June 16th, 2023"; 16:02; Vila Imperial; Parque Res. Dom Lafaiete Libanio; 14.40; 0.0; 6900; 1200
"Friday, June 16th, 2023"; 16:45; Centro; Jardim Alto Alegre; 10.79; 0.0; 4700; 971
"Friday, June 16th, 2023"; 17:16; Centro; Jardim Alto Alegre; 8.38; 1.0; 2800; 367
"Friday, June 16th, 2023"; 17:33; Estancia Santa Helena; Jardim Maria Lucia; 19.98; 0.00; 10800; 1376
"Friday, June 16th, 2023"; 18:18; Centro; Vila Toninho; 20.01; 2.50; 7500; 992
"Monday, June 19th, 2023"; 07:00; Parque Residencial Mansur Daud; Jardim Marajo; 12.93; 1.00; 6500; 714
"Monday, June 19th, 2023"; 07:27; Parque Residencial da Solidariedade; Gaivota; 20.80; 3.00; 9800; 1209
"Monday, June 19th, 2023"; 08:06; Estancia Santa Helena; Jardim America; 9.11; 0.0; 4400; 448
"Monday, June 19th, 2023"; 08:33; Jardim Conceicao; Vila Sao Jose; 12.65; 0.0; 6100; 857
"Monday, June 19th, 2023"; 09:00; Santos Dumont; Higienopolis; 9.67; 0.0; 4300; 774
"Monday, June 19th, 2023"; 11:30; Boa Vista; Vila Toninho; 16.11; 0.0; 8100; 1026
"Monday, June 19th, 2023"; 11:52; Vila Toninho; Bairro Iguatemi; 19.81; 0.0; 11800; 975
"Monday, June 19th, 2023"; 13:37; Schimidt; Santos Dumont; 21.74; 0.0; 13000; 920
"Monday, June 19th, 2023"; 14:54; Vila Redentora; Jardim Antonieta; 14.13; 0.0; 6800; 1105
"Monday, June 19th, 2023"; 15:42; Universitario; Vila Santa Cruz; 8.66; 0.0; 3600; 669
"Monday, June 19th, 2023"; 15:55; Vila Santo Antonio; Parque Residencial Damha; 13.15; 0.0; 7000; 702
"Monday, June 19th, 2023"; 16:26; Vila Bom Jesus; Jardim Marajo; 13.73; 0.0; 6700; 742
"Monday, June 19th, 2023"; 16:38; Roseiral; Sao Deocleciano; 11.12; 0.0; 5500; 532
"Monday, June 19th, 2023"; 17:05; Jardim Primavera; Centro; 13.40; 0.0; 7000; 834
"Monday, June 19th, 2023"; 17:24; Santa Cruz; Nova Redentora; 8.14; 0.0; 3500; 752
"Monday, June 19th, 2023"; 18:01; Parque Quinta das Paineiras; Vila Toninho; 10.29; 0.0; 5000; 727
"Wednesday, June 21st, 2023"; 07:14; Schimidt; Vila Sinibaldi; 21.02; 0.0; 11200; 909
"Wednesday, June 21st, 2023"; 07:38; Bom Jardim; 15091-060; 6.64; 0.0; 2600; 435
"Wednesday, June 21st, 2023"; 08:51; Tarraf II; Chacara Municipal; 8.32; 0.0; 3700; 544
"Wednesday, June 21st, 2023"; 11:37; Centro; Vila Sao Pedro; 6.33; 0.0; 2200; 463
"Wednesday, June 21st, 2023"; 11:51; Vila Sao Jose; Centro; 10.52; 0.0; 4100; 675
"Wednesday, June 21st, 2023"; 14:26; Higienopolis; Solo Sagrado; 17.49; 0.0; 7800; 1436
"Wednesday, June 21st, 2023"; 15:08; Jardim Alto Rio Preto; Jardim Fuscaldo; 11.15; 0.0; 5100; 923
"Wednesday, June 21st, 2023"; 16:07; 15081-510; Higienopolis; 9.34; 0.0; 2800; 408
"Wednesday, June 21st, 2023"; 16:23; Redentor; Vila Elvira; 9.85; 0.0; 4300; 707
"Wednesday, June 21st, 2023"; 16:43; Vila Redentora; Jardim Morumbi; 8.00; 0.0; 2600; 506
