,date,ride_starting_time,origin,destination,total_price_brl,dynamic_price,distance_in_meters,duration_in_seconds,data_time_merged,parsed_datatime,raw_ride_price,profit
0,"Monday, June 12th, 2023",07:36,Jardim Sao Marcos, Centro,11.63,0.0,6000, 721,"Monday, June 12th, 2023 07:36",2023-06-12 07:36:00,1.836842105263158,9.793157894736844
1,"Monday, June 12th, 2023",11:26,Vila Cordula, Centro,5.51,0.0,1800, 427,"Monday, June 12th, 2023 11:26",2023-06-12 11:26:00,0.5510526315789475,4.958947368421052
2,"Monday, June 12th, 2023",11:40,Centro, Gaivota,31.36,0.0,8400, 1534,"Monday, June 12th, 2023 11:40",2023-06-12 11:40:00,2.571578947368421,28.788421052631577
3,"Monday, June 12th, 2023",12:12,Vista Alegre, Vila Diniz,8.26,0.0,3500, 466,"Monday, June 12th, 2023 12:12",2023-06-12 12:12:00,1.0714912280701756,7.188508771929824
4,"Monday, June 12th, 2023",17:03,15090-120, Jardim Herculano,10.19,0.0,3600, 1007,"Monday, June 12th, 2023 17:03",2023-06-12 17:03:00,1.102105263157895,9.087894736842104
5,"Tuesday, June 13th, 2023",07:23,Parque Residencial Mansur Daud, Jardim Marajo,17.08,0.0,9600, 952,"Tuesday, June 13th, 2023 07:23",2023-06-13 07:23:00,2.938947368421053,14.141052631578946
6,"Tuesday, June 13th, 2023",07:40,Sao Deocleciano, Jardim Santa Maria,14.25,0.0,7500, 1040,"Tuesday, June 13th, 2023 07:40",2023-06-13 07:40:00,2.296052631578948,11.953947368421051
7,"Tuesday, June 13th, 2023",09:28,Jardim Conceicao, Centro,7.96,0.0,3400, 630,"Tuesday, June 13th, 2023 09:28",2023-06-13 09:28:00,1.0408771929824563,6.919122807017544
8,"Tuesday, June 13th, 2023",11:20,Alto Rio Preto, Bela Vista,16.33,0.0,8500, 1389,"Tuesday, June 13th, 2023 11:20",2023-06-13 11:20:00,2.6021929824561405,13.727807017543858
9,"Tuesday, June 13th, 2023",11:20,Alto Rio Preto, Bela Vista,16.33,0.0,8500, 1389,"Tuesday, June 13th, 2023 11:20",2023-06-13 11:20:00,2.6021929824561405,13.727807017543858
